first_name,last_name,idnp,bank_account,money,currency
Biddy,Catherall,50051-0013,6767820614409308156,65,EUR
Augustus,Klimkiewich,65954-372,3534378149381880,22,THB
Lind,Gundry,59262-263,3529603815370751,67,PLN
Sallie,Cuniffe,24385-535,5278352573962940,87,EUR
Jephthah,Boylan,49726-026,374622899314727,12,VEF
Erhart,Abramov,35356-635,3537897265552872,65,EUR
Corrie,Goshawk,59726-258,3578913889229225,48,CNY
Gerianne,Walsh,53157-121,201880762724070,99,CNY
Kathlin,Leate,51079-996,3588833621302502,24,KZT
Manny,Leyes,41520-430,4175006785576552,95,IDR
Sauncho,Brecknell,59779-212,6759286261772599,45,BRL
Bjorn,Anthon,49035-211,3540514834100795,33,CZK
Reena,Over,76176-018,3537023412512715,5,EUR
Karmen,Pitchers,0113-0923,3585381704210450,62,IDR
Bryant,Daish,57520-0252,201760763462351,42,IRR
Evangelia,Bricknall,53808-0436,3535217845073293,32,GBP
Kendrick,McKinna,0245-0211,560224027141023701,74,BRL
Artair,Chat,29333-0001,5261295479187733,16,SEK
Dyann,Chrestien,65044-2215,50205257349254080,100,CNY
Fee,Danielsen,52345-1001,3581165673284784,7,CNY
Timothee,Meni,49288-0777,3588718340910638,94,DOP
Jenn,Penzer,16590-825,5002356698722546,1,UAH
Valeda,De Biaggi,54868-5287,3539002530903822,12,EUR
Jasper,Dyerson,68647-195,5018709860834915,40,CNY
Phineas,Millhouse,0781-1684,5100170053786462,100,MXN
Thatch,Craigie,59762-5023,30292604681129,67,IDR
Robinette,Parlor,52427-288,5002352376139913,30,EUR
Bette-ann,Rosi,68180-848,3567235578155104,90,AZN
Pascale,Essberger,55714-1509,36347880583482,53,PHP
Goldina,Isles,54569-3902,5602237377207716,68,SEK
Salim,Donnellan,21695-846,3567443398857368,82,EUR
Derrek,Stile,51655-588,3588817866017602,62,IDR
Devan,Batte,51442-546,337941616817424,77,IDR
Chadd,Slate,52125-596,6373996008519071,76,CNY
Marigold,Gulliman,10356-855,3554844922237750,5,MNT
Wendall,McClune,50441-0001,67719866363675302,85,EUR
Stephan,Portwaine,16729-147,337941303508575,6,THB
Guillermo,O'Mara,0268-1409,30508736801479,90,PLN
Herve,Riteley,49852-011,3534426717454793,3,EUR
Gelya,Yearne,46123-002,3539712028014615,69,IDR
Sherri,Dutnall,55111-284,3588703312275582,94,PHP
Jdavie,Deshorts,54868-5769,3563881002770168,39,EUR
Karee,Lefwich,55154-9564,3531023857252377,81,EUR
Jeannette,Michelotti,37000-274,374283030876775,85,EUR
Diarmid,Checkley,51991-796,3585708764473737,4,NZD
Konstantin,Moxon,49738-555,503810944668531256,4,HRK
Mireille,Nardrup,54868-4370,4913067310309122,90,IDR
Nikoletta,Kerwick,60429-771,5018981747041943115,36,RUB
Simona,Janman,36987-2675,3576872131693673,52,IRR
Weber,Mor,50268-515,5602221000687429,81,COP
